yymmdd,qty,SP1,브랜드
2020-03-22,13.28125,종로영업소,칸쵸
2020-03-29,15.2578125,종로영업소,칸쵸
2020-04-05,29.671875,종로영업소,칸쵸
2020-04-12,28.859375,종로영업소,칸쵸
2020-04-19,65.75,종로영업소,칸쵸
2020-04-26,47.40625,종로영업소,칸쵸
2020-05-03,83.0323486328125,종로영업소,칸쵸
2020-05-10,221.375,종로영업소,칸쵸
2020-05-17,95.75,종로영업소,칸쵸
2020-05-24,26.90625,종로영업소,칸쵸
2020-05-31,83.0323486328125,종로영업소,칸쵸
2020-06-07,83.0323486328125,종로영업소,칸쵸
2020-06-14,221.375,종로영업소,칸쵸
2020-06-21,221.375,종로영업소,칸쵸
2020-06-28,155.75,종로영업소,칸쵸
2020-07-05,186.625,종로영업소,칸쵸
2020-07-12,74.0,종로영업소,칸쵸
2020-07-19,70.1875,종로영업소,칸쵸
2020-07-26,83.0323486328125,종로영업소,칸쵸
2020-08-02,89.0,종로영업소,칸쵸
2020-08-09,53.90625,종로영업소,칸쵸
2020-08-16,44.34375,종로영업소,칸쵸
2020-08-23,90.5625,종로영업소,칸쵸
2020-08-30,34.84375,종로영업소,칸쵸
2020-09-06,95.0625,종로영업소,칸쵸
2020-09-13,93.875,종로영업소,칸쵸
2020-09-20,87.4375,종로영업소,칸쵸
2020-09-27,42.84375,종로영업소,칸쵸
2020-10-04,29.28125,종로영업소,칸쵸
2020-10-11,139.75,종로영업소,칸쵸
2020-10-18,62.1875,종로영업소,칸쵸
2020-10-25,41.875,종로영업소,칸쵸
2020-11-01,37.96875,종로영업소,칸쵸
2020-11-08,121.8125,종로영업소,칸쵸
2020-11-15,197.75,종로영업소,칸쵸
2020-11-22,118.3125,종로영업소,칸쵸
2020-11-29,112.0,종로영업소,칸쵸
2020-12-06,18.796875,종로영업소,칸쵸
2020-12-13,73.0,종로영업소,칸쵸
2020-12-20,69.875,종로영업소,칸쵸
2020-12-27,26.28125,종로영업소,칸쵸
2021-01-03,31.65625,종로영업소,칸쵸
2021-01-10,66.75,종로영업소,칸쵸
2021-01-17,140.75,종로영업소,칸쵸
2021-01-24,48.53125,종로영업소,칸쵸
2021-01-31,35.0,종로영업소,칸쵸
2021-02-07,108.1875,종로영업소,칸쵸
2021-02-14,83.375,종로영업소,칸쵸
2021-02-21,44.21875,종로영업소,칸쵸
