y,ds,dummy,Store
1453329.5,2010-01-10,dummy,1
1594968.2,2010-02-04,dummy,1
1492418.1,2010-02-07,dummy,1
1611968.1,2010-02-19,dummy,1
1409727.6,2010-02-26,dummy,1
1540163.5,2010-03-09,dummy,1
1548033.8,2010-03-12,dummy,1
1472515.8,2010-03-19,dummy,1
1404429.9,2010-03-26,dummy,1
1615524.8,2010-04-06,dummy,1
1466058.2,2010-04-16,dummy,1
1391256.1,2010-04-23,dummy,1
1425100.8,2010-04-30,dummy,1
1643690.9,2010-05-02,dummy,1
1554806.6,2010-05-03,dummy,1
1551659.2,2010-05-11,dummy,1
1494251.5,2010-05-14,dummy,1
1399662.1,2010-05-21,dummy,1
1432070.0,2010-05-28,dummy,1
1605491.8,2010-06-08,dummy,1
1503284.0,2010-06-18,dummy,1
1422711.6,2010-06-25,dummy,1
1603955.1,2010-07-05,dummy,1
1448938.9,2010-07-16,dummy,1
1385065.2,2010-07-23,dummy,1
1371986.6,2010-07-30,dummy,1
1508239.9,2010-08-10,dummy,1
1508237.8,2010-08-13,dummy,1
1513080.5,2010-08-20,dummy,1
1449142.9,2010-08-27,dummy,1
1545418.5,2010-09-04,dummy,1
1546074.1,2010-09-07,dummy,1
1430378.6,2010-09-17,dummy,1
1351791.0,2010-09-24,dummy,1
1507460.8,2010-10-09,dummy,1
1682614.2,2010-10-12,dummy,1
1459409.1,2010-10-15,dummy,1
1345454.0,2010-10-22,dummy,1
1384209.2,2010-10-29,dummy,1
1542561.1,2010-11-06,dummy,1
1483784.1,2010-11-19,dummy,1
1955624.1,2010-11-26,dummy,1
1641957.5,2010-12-02,dummy,1
1439541.6,2010-12-03,dummy,1
1494479.5,2010-12-11,dummy,1
1891034.9,2010-12-17,dummy,1
2387950.2,2010-12-24,dummy,1
1367320.0,2010-12-31,dummy,1
1495064.8,2011-01-04,dummy,1
1488538.1,2011-01-07,dummy,1
1391014.0,2011-01-14,dummy,1
1327405.4,2011-01-21,dummy,1
1316899.2,2011-01-28,dummy,1
1550229.2,2011-02-09,dummy,1
1584084.0,2011-02-12,dummy,1
1686842.8,2011-02-18,dummy,1
1456800.2,2011-02-25,dummy,1
1635078.4,2011-03-06,dummy,1
1576818.0,2011-03-18,dummy,1
1541102.4,2011-03-25,dummy,1
1606629.6,2011-04-02,dummy,1
1636263.4,2011-04-03,dummy,1
1697229.6,2011-04-11,dummy,1
1559889.0,2011-04-15,dummy,1
1564819.8,2011-04-22,dummy,1
1455090.8,2011-04-29,dummy,1
1624383.8,2011-05-08,dummy,1
1604775.6,2011-05-13,dummy,1
1428218.2,2011-05-20,dummy,1
1466046.6,2011-05-27,dummy,1
1629391.2,2011-06-05,dummy,1
1532114.9,2011-06-17,dummy,1
1438830.1,2011-06-24,dummy,1
1444732.2,2011-07-01,dummy,1
1630990.0,2011-07-10,dummy,1
1455120.0,2011-07-15,dummy,1
1396926.9,2011-07-22,dummy,1
1352219.8,2011-07-29,dummy,1
1614259.4,2011-08-04,dummy,1
1534849.6,2011-08-07,dummy,1
1530761.4,2011-08-19,dummy,1
1464693.5,2011-08-26,dummy,1
1540471.2,2011-09-09,dummy,1
1799682.4,2011-09-12,dummy,1
1514259.8,2011-09-16,dummy,1
1380020.2,2011-09-23,dummy,1
1394561.9,2011-09-30,dummy,1
1588948.4,2011-10-06,dummy,1
1493525.9,2011-10-14,dummy,1
1502562.8,2011-10-21,dummy,1
1445249.1,2011-10-28,dummy,1
1649614.9,2011-11-02,dummy,1
1553191.6,2011-11-03,dummy,1
1594938.9,2011-11-11,dummy,1
1539483.8,2011-11-18,dummy,1
2033320.6,2011-11-25,dummy,1
1525147.1,2011-12-08,dummy,1
1881176.6,2011-12-16,dummy,1
2270189.0,2011-12-23,dummy,1
1497462.8,2011-12-30,dummy,1
1624477.6,2012-01-06,dummy,1
1459601.1,2012-01-13,dummy,1
1394393.9,2012-01-20,dummy,1
1319325.6,2012-01-27,dummy,1
1688420.8,2012-02-03,dummy,1
1819870.0,2012-02-17,dummy,1
1539387.9,2012-02-24,dummy,1
1636339.6,2012-03-02,dummy,1
1631135.8,2012-03-08,dummy,1
1677472.8,2012-03-16,dummy,1
1511068.1,2012-03-23,dummy,1
1649604.6,2012-03-30,dummy,1
1684520.0,2012-04-05,dummy,1
1621031.8,2012-04-13,dummy,1
1521577.9,2012-04-20,dummy,1
1468928.4,2012-04-27,dummy,1
1670786.0,2012-05-10,dummy,1
1595901.9,2012-05-18,dummy,1
1555444.5,2012-05-25,dummy,1
1550369.9,2012-06-01,dummy,1
1899676.9,2012-06-04,dummy,1
1769854.1,2012-06-07,dummy,1
1630607.0,2012-06-15,dummy,1
1527845.8,2012-06-22,dummy,1
1540421.5,2012-06-29,dummy,1
1661767.4,2012-07-09,dummy,1
1527014.0,2012-07-13,dummy,1
1497954.8,2012-07-20,dummy,1
1439123.8,2012-07-27,dummy,1
1697231.0,2012-08-06,dummy,1
1597868.0,2012-08-17,dummy,1
1494122.4,2012-08-24,dummy,1
1582083.4,2012-08-31,dummy,1
1675431.1,2012-09-03,dummy,1
1517428.9,2012-09-14,dummy,1
1506126.0,2012-09-21,dummy,1
1827440.4,2010-01-10,dummy,2
2066187.8,2010-02-04,dummy,2
2003940.6,2010-02-07,dummy,2
2124451.5,2010-02-19,dummy,2
1865097.2,2010-02-26,dummy,2
1904608.1,2010-03-09,dummy,2
2015781.2,2010-03-12,dummy,2
1946070.9,2010-03-19,dummy,2
1750197.8,2010-03-26,dummy,2
2102540.0,2010-04-06,dummy,2
1874958.0,2010-04-16,dummy,2
1821990.9,2010-04-23,dummy,2
1802450.2,2010-04-30,dummy,2
2136989.5,2010-05-02,dummy,2
1991013.1,2010-05-03,dummy,2
1939061.4,2010-05-11,dummy,2
1880752.4,2010-05-14,dummy,2
1896937.1,2010-05-21,dummy,2
1957113.9,2010-05-28,dummy,2
1991910.0,2010-06-08,dummy,2
2001637.0,2010-06-18,dummy,2
1939927.1,2010-06-25,dummy,2
2042581.8,2010-07-05,dummy,2
1845879.8,2010-07-16,dummy,2
1781717.8,2010-07-23,dummy,2
1804246.1,2010-07-30,dummy,2
1849921.5,2010-08-10,dummy,2
1895601.0,2010-08-13,dummy,2
1964335.2,2010-08-20,dummy,2
1863840.5,2010-08-27,dummy,2
1954689.2,2010-09-04,dummy,2
1880902.6,2010-09-07,dummy,2
1793903.6,2010-09-17,dummy,2
1724557.2,2010-09-24,dummy,2
1839128.9,2010-10-09,dummy,2
2378726.5,2010-10-12,dummy,2
1794355.5,2010-10-15,dummy,2
1737947.6,2010-10-22,dummy,2
1802755.1,2010-10-29,dummy,2
2025538.8,2010-11-06,dummy,2
1956739.1,2010-11-19,dummy,2
2658725.2,2010-11-26,dummy,2
2137809.5,2010-12-02,dummy,2
1990483.8,2010-12-03,dummy,2
1916812.8,2010-12-11,dummy,2
2609166.8,2010-12-17,dummy,2
3436007.8,2010-12-24,dummy,2
1750434.5,2010-12-31,dummy,2
1800171.4,2011-01-04,dummy,2
1866243.0,2011-01-07,dummy,2
1744193.6,2011-01-14,dummy,2
1751384.9,2011-01-21,dummy,2
1695371.6,2011-01-28,dummy,2
1809119.8,2011-02-09,dummy,2
1954952.0,2011-02-12,dummy,2
2080884.9,2011-02-18,dummy,2
1833511.1,2011-02-25,dummy,2
1933756.2,2011-03-06,dummy,2
1902557.6,2011-03-18,dummy,2
1766162.0,2011-03-25,dummy,2
1929346.2,2011-04-02,dummy,2
1981607.8,2011-04-03,dummy,2
1959707.9,2011-04-11,dummy,2
1856467.9,2011-04-15,dummy,2
1886339.6,2011-04-22,dummy,2
1745545.2,2011-04-29,dummy,2
1876704.2,2011-05-08,dummy,2
1838513.1,2011-05-13,dummy,2
1688281.9,2011-05-20,dummy,2
1797732.5,2011-05-27,dummy,2
1837743.6,2011-06-05,dummy,2
1953772.0,2011-06-17,dummy,2
1790925.8,2011-06-24,dummy,2
1758050.8,2011-07-01,dummy,2
1837553.4,2011-07-10,dummy,2
1785187.2,2011-07-15,dummy,2
1743816.4,2011-07-22,dummy,2
1680693.0,2011-07-29,dummy,2
1847552.6,2011-08-04,dummy,2
1853162.0,2011-08-07,dummy,2
1844094.6,2011-08-19,dummy,2
1821139.9,2011-08-26,dummy,2
1748000.6,2011-09-09,dummy,2
2290549.2,2011-09-12,dummy,2
1691439.5,2011-09-16,dummy,2
1669299.8,2011-09-23,dummy,2
1650394.5,2011-09-30,dummy,2
1929153.1,2011-10-06,dummy,2
1743882.2,2011-10-14,dummy,2
1834680.2,2011-10-21,dummy,2
1769296.2,2011-10-28,dummy,2
2168041.5,2011-11-02,dummy,2
1879107.2,2011-11-03,dummy,2
1920725.1,2011-11-11,dummy,2
1902762.5,2011-11-18,dummy,2
2614202.2,2011-11-25,dummy,2
1812768.2,2011-12-08,dummy,2
2432736.5,2011-12-16,dummy,2
3224369.8,2011-12-23,dummy,2
1874226.5,2011-12-30,dummy,2
1910092.4,2012-01-06,dummy,2
1744725.5,2012-01-13,dummy,2
1711769.1,2012-01-20,dummy,2
1660906.1,2012-01-27,dummy,2
1952555.6,2012-02-03,dummy,2
2196688.5,2012-02-17,dummy,2
1861802.8,2012-02-24,dummy,2
1935300.0,2012-03-02,dummy,2
1946104.6,2012-03-08,dummy,2
1976082.1,2012-03-16,dummy,2
1790439.1,2012-03-23,dummy,2
1857480.9,2012-03-30,dummy,2
1923957.1,2012-04-05,dummy,2
1935869.1,2012-04-13,dummy,2
1847344.5,2012-04-20,dummy,2
1764133.1,2012-04-27,dummy,2
1998321.0,2012-05-10,dummy,2
2000940.6,2012-05-18,dummy,2
1912791.1,2012-05-25,dummy,2
1799520.1,2012-06-01,dummy,2
2129036.0,2012-06-04,dummy,2
2041507.4,2012-06-07,dummy,2
