Date,Weekly_Sales,time_idx,Store
2010-01-10,1453329.5,0,1
2011-11-03,1553191.6,92,1
2011-11-11,1594938.9,93,1
2011-11-18,1539483.8,94,1
2011-11-25,2033320.6,95,1
2011-12-08,1525147.1,96,1
2011-12-16,1881176.6,97,1
2011-11-02,1649614.9,91,1
2011-12-23,2270189.0,98,1
2012-01-06,1624477.6,100,1
2012-01-13,1459601.1,101,1
2012-01-20,1394393.9,102,1
2012-01-27,1319325.6,103,1
2012-02-03,1688420.8,104,1
2012-02-17,1819870.0,105,1
2011-12-30,1497462.8,99,1
2012-03-02,1636339.6,107,1
2011-10-28,1445249.1,90,1
2011-10-14,1493525.9,88,1
2011-07-10,1630990.0,74,1
2011-07-15,1455120.0,75,1
2011-07-22,1396926.9,76,1
2011-07-29,1352219.8,77,1
2011-08-04,1614259.4,78,1
2011-08-07,1534849.6,79,1
2011-10-21,1502562.8,89,1
2011-08-19,1530761.4,80,1
2011-09-09,1540471.2,82,1
2011-09-12,1799682.4,83,1
2011-09-16,1514259.8,84,1
2011-09-23,1380020.2,85,1
2011-09-30,1394561.9,86,1
2011-10-06,1588948.4,87,1
2011-08-26,1464693.5,81,1
2011-07-01,1444732.2,73,1
2012-03-08,1631135.8,108,1
2012-03-23,1511068.1,110,1
2012-08-06,1697231.0,129,1
2012-08-17,1597868.0,130,1
2012-08-24,1494122.4,131,1
2012-08-31,1582083.4,132,1
2012-09-03,1675431.1,133,1
2012-09-14,1517428.9,134,1
2012-07-27,1439123.8,128,1
2012-09-21,1506126.0,135,1
2012-03-16,1677472.8,109,1
2012-07-20,1497954.8,127,1
2012-07-09,1661767.4,125,1
2012-03-30,1649604.6,111,1
2012-04-05,1684520.0,112,1
2012-04-13,1621031.8,113,1
2012-04-20,1521577.9,114,1
2012-04-27,1468928.4,115,1
2012-05-10,1670786.0,116,1
2012-07-13,1527014.0,126,1
2012-05-18,1595901.9,117,1
2012-06-01,1550369.9,119,1
2012-06-04,1899676.9,120,1
2012-06-07,1769854.1,121,1
2012-06-15,1630607.0,122,1
2012-06-22,1527845.8,123,1
2012-06-29,1540421.5,124,1
2012-05-25,1555444.5,118,1
2011-06-24,1438830.1,72,1
2012-02-24,1539387.9,106,1
2011-06-05,1629391.2,70,1
2010-06-18,1503284.0,20,1
2010-06-25,1422711.6,21,1
2010-07-05,1603955.1,22,1
2010-07-16,1448938.9,23,1
2010-07-23,1385065.2,24,1
2010-07-30,1371986.6,25,1
2010-06-08,1605491.8,19,1
2010-08-10,1508239.9,26,1
2010-08-20,1513080.5,28,1
2010-08-27,1449142.9,29,1
2010-09-04,1545418.5,30,1
2010-09-07,1546074.1,31,1
2010-09-17,1430378.6,32,1
2010-09-24,1351791.0,33,1
2010-08-13,1508237.8,27,1
2010-05-28,1432070.0,18,1
2010-05-21,1399662.1,17,1
2010-05-14,1494251.5,16,1
2011-06-17,1532114.9,71,1
2010-02-07,1492418.1,2,1
2010-02-19,1611968.1,3,1
2010-02-26,1409727.6,4,1
2010-03-09,1540163.5,5,1
2010-03-12,1548033.8,6,1
2010-03-19,1472515.8,7,1
2010-03-26,1404429.9,8,1
2010-04-06,1615524.8,9,1
2010-04-16,1466058.2,10,1
2010-04-23,1391256.1,11,1
2010-04-30,1425100.8,12,1
2010-05-02,1643690.9,13,1
2010-05-03,1554806.6,14,1
2010-05-11,1551659.2,15,1
