yymmdd,qty,rhm_avg,gsr_sum,discount,cust_grp_cd,biz_cd,line_cd,brand_cd,브랜드,SP1
2020-03-22,13.28,47.43,17.14,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2020-03-29,15.26,42.34,18.23,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2020-04-05,29.67,40.14,20.91,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2020-04-12,28.86,44.48,22.3,0.27,1095,P1,P103,P103056,칸쵸,종로영업소
2020-04-19,65.75,47.41,20.31,0.27,1095,P1,P103,P103056,칸쵸,종로영업소
2020-04-26,47.41,53.54,19.24,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2020-05-03,-54.114893599939364,61.77,21.13,0.27,1095,P1,P103,P103056,칸쵸,종로영업소
2020-05-10,221.40989359993938,45.78,24.95,0.25,1095,P1,P103,P103056,칸쵸,종로영업소
2020-05-17,95.74,55.56,18.07,0.27,1095,P1,P103,P103056,칸쵸,종로영업소
2020-05-24,26.91,67.9,16.6,0.27,1095,P1,P103,P103056,칸쵸,종로영업소
2020-05-31,2.68,71.45,23.87,0.26,1095,P1,P103,P103056,칸쵸,종로영업소
2020-06-07,-54.114893599939364,72.11,21.55,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2020-06-14,221.40989359993938,61.13,23.97,0.27,1095,P1,P103,P103056,칸쵸,종로영업소
2020-06-21,221.40989359993938,61.21,20.69,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2020-06-28,155.76,76.39,11.77,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2020-07-05,186.63,75.94,13.7,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2020-07-12,73.98,70.6,19.42,0.27,1095,P1,P103,P103056,칸쵸,종로영업소
2020-07-19,70.16,75.14,18.82,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2020-07-26,-50.47,81.25,7.84,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2020-08-02,88.98,87.27,8.68,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2020-08-09,53.91,90.8,6.16,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2020-08-16,44.34,89.58,9.44,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2020-08-23,90.58,78.08,17.05,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2020-08-30,34.84,78.83,13.68,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2020-09-06,95.05,76.6,12.63,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2020-09-13,93.87,79.0,14.57,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2020-09-20,87.43,72.49,13.09,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2020-09-27,42.85,58.73,18.21,0.35,1095,P1,P103,P103056,칸쵸,종로영업소
2020-10-04,29.28,67.13,16.16,0.44,1095,P1,P103,P103056,칸쵸,종로영업소
2020-10-11,139.78,54.91,18.15,0.33,1095,P1,P103,P103056,칸쵸,종로영업소
2020-10-18,62.19,53.59,11.18,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2020-10-25,41.88,60.84,13.65,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2020-11-01,37.96,54.71,13.99,0.33,1095,P1,P103,P103056,칸쵸,종로영업소
2020-11-08,121.81,54.57,11.92,0.33,1095,P1,P103,P103056,칸쵸,종로영업소
2020-11-15,197.75,54.88,11.41,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2020-11-22,118.31,76.61,4.26,0.34,1095,P1,P103,P103056,칸쵸,종로영업소
2020-11-29,112.01,61.91,8.4,0.35,1095,P1,P103,P103056,칸쵸,종로영업소
2020-12-06,18.79,49.11,10.04,0.33,1095,P1,P103,P103056,칸쵸,종로영업소
2020-12-13,73.0,62.28,7.64,0.3,1095,P1,P103,P103056,칸쵸,종로영업소
2020-12-20,69.87,48.14,10.8,0.33,1095,P1,P103,P103056,칸쵸,종로영업소
2020-12-27,26.28,67.38,8.04,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2021-01-03,31.65,64.22,7.52,0.34,1095,P1,P103,P103056,칸쵸,종로영업소
2021-01-10,66.78,50.49,8.75,0.35,1095,P1,P103,P103056,칸쵸,종로영업소
2021-01-17,140.69,67.3,5.68,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2021-01-24,48.53,64.72,6.51,0.28,1095,P1,P103,P103056,칸쵸,종로영업소
2021-01-31,35.0,54.86,9.73,0.29,1095,P1,P103,P103056,칸쵸,종로영업소
2021-02-07,108.2,64.88,10.07,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2021-02-14,83.38,59.15,11.71,0.31,1095,P1,P103,P103056,칸쵸,종로영업소
2021-02-21,44.22,56.68,13.95,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2021-02-28,83.24,40.82,14.71,0.32,1095,P1,P103,P103056,칸쵸,종로영업소
2021-03-07,33.18,75.34,11.49,0.36,1095,P1,P103,P103056,칸쵸,종로영업소
