Date,Store,str_nm,Weekly_Sales,dc_stk_qty,dyoff_dy,holidy_cd,sale_dc_yn,event_yn,evt_dur_div,avg_tmpr_val,perf_evnt,ott_dest,lept,cult_facl,shop,lodg,food_bevg,hist_dest,natr_dest,rect_dest,local_visit,outsd_visit,forn_visit,local_outsd_visit,outsd_forn_visit,tot_visit,ride_pasgr_num,alight_pasgr_num,tot_pop,male_pop,female_pop,search_cnt,click_cnt,disa_subs_dur
2019-01-06,1,G속초조양,112,0,0,1,1,0,99_etc,1.2,9,593,78,106,312,598,2549,31,918,225,54142,66948,213,121090,67161,121302,0,0,0,0,0,47.05882,45,0
2019-01-06,2,G화곡점,112,0,0,1,1,0,99_etc,-1.8,214,1671,222,32,1082,276,1764,21,48,870,193022,153444,2588,346465,156032,349053,9475,9693,807888,380007,427881,47.05882,45,0
2019-01-06,3,가락점,40,0,0,1,99,0,99_etc,-1.2,616,446,110,41,1001,403,2793,20,221,960,324121,278933,3389,603054,282322,606443,5218,5037,825236,403772,421464,47.05882,45,0
2019-01-06,4,개화산점,88,0,0,1,1,0,99_etc,-1.8,214,1671,222,32,1082,276,1764,21,48,870,193022,153444,2588,346465,156032,349053,3256,3353,919503,445200,474303,47.05882,45,0
2019-01-06,5,코엑스점,88,0,0,1,1,0,99_etc,-1.2,734,1506,61,606,122,1451,5471,158,90,162,295928,397632,6351,693560,403983,699911,10114,9455,812045,375532,436513,47.05882,45,0
2019-01-20,1,G속초조양,568,0,0,1,1,0,99_etc,1.5,8,806,112,146,428,1022,3641,27,1313,314,52871,84959,130,137830,85089,137960,0,0,0,0,0,23.52941,36,0
2019-01-20,2,G화곡점,1552,0,0,1,0,1,03_week1,-1.5,255,1807,202,52,1134,277,1814,14,44,884,191390,170692,4097,362082,174788,366179,9719,9881,772368,358227,414141,23.52941,36,0
2019-01-20,3,가락점,640,0,0,1,0,1,03_week1,-0.6,405,501,88,59,1098,356,3074,20,184,1116,319501,282107,2435,601608,284542,604043,5514,5217,846281,414515,431766,23.52941,36,0
2019-01-20,4,개화산점,616,0,0,1,1,1,03_week1,-1.5,255,1807,202,52,1134,277,1814,14,44,884,191390,170692,4097,362082,174788,366179,3226,3265,903255,435655,467600,23.52941,36,0
2019-01-20,5,코엑스점,160,0,0,1,1,1,03_week1,-0.9,761,1553,54,819,146,1520,5888,128,75,217,292635,438421,8361,731056,446782,739417,9128,8468,811681,383314,428367,23.52941,36,0
2019-02-03,1,G속초조양,976,0,0,1,1,0,99_etc,3.6,88,573,75,237,486,1972,4175,20,983,603,52913,105185,626,158098,105812,158725,0,0,0,0,0,29.41176,22,0
2019-02-03,2,G화곡점,1168,1,0,1,0,1,99_etc,3.5,539,1613,46,17,1355,345,1332,15,18,546,183918,171815,3160,355733,174975,358893,7217,7011,699715,325724,373991,29.41176,22,0
2019-02-03,3,가락점,112,0,0,1,1,1,99_etc,3.8,626,398,76,9,1244,446,2208,11,105,1151,295512,252683,3607,548195,256289,551801,4250,3787,788458,385524,402934,29.41176,22,0
2019-02-03,4,개화산점,184,0,0,1,1,1,99_etc,3.5,539,1613,46,17,1355,345,1332,15,18,546,183918,171815,3160,355733,174975,358893,2723,2533,849567,409964,439603,29.41176,22,0
2019-02-03,5,코엑스점,280,0,0,1,0,1,99_etc,3.3,689,1351,23,474,131,1275,4217,84,34,205,253082,308784,6098,561865,314882,567963,6909,6479,743056,344861,398195,29.41176,22,0
2019-02-17,1,G속초조양,136,0,0,1,1,0,99_etc,2.0,17,782,127,137,411,926,3522,20,1212,320,54250,79223,360,133473,79583,133833,0,0,0,0,0,61.7647,43,0
2019-02-17,2,G화곡점,112,0,0,1,1,0,99_etc,-1.8,400,1808,68,54,1193,345,1876,8,75,885,205139,182626,3548,387765,186175,391313,9801,10032,754043,348852,405191,61.7647,43,0
2019-02-17,3,가락점,88,0,0,1,1,0,99_etc,0.1,676,518,81,219,1031,395,3068,22,235,1170,335597,322823,2658,658420,325481,661078,5514,5448,826561,407453,419108,61.7647,43,0
2019-02-17,4,개화산점,40,0,0,1,99,0,99_etc,-1.8,400,1808,68,54,1193,345,1876,8,75,885,205139,182626,3548,387765,186175,391313,3385,3458,909416,443450,465966,61.7647,43,0
2019-02-17,5,코엑스점,184,0,0,1,1,0,99_etc,-0.3,561,1510,55,1048,136,1769,6050,104,95,208,302697,461346,7888,764043,469233,771931,10848,9953,878554,413464,465090,61.7647,43,0
2019-03-03,1,G속초조양,232,0,0,1,1,0,99_etc,7.6,12,746,85,99,279,418,2986,26,1068,192,55489,73696,286,129185,73982,129471,0,0,0,0,0,29.41176,34,0
2019-03-03,2,G화곡점,136,0,0,1,1,0,99_etc,7.3,222,1702,55,45,1150,275,1681,22,62,848,202013,175511,2675,377524,178186,380199,9996,10217,735062,345914,389148,29.41176,34,0
2019-03-03,3,가락점,40,0,0,1,99,0,99_etc,10.4,437,564,48,53,964,301,2883,18,229,991,336609,296272,3453,632880,299725,636334,5720,5505,816815,399415,417400,29.41176,34,0
2019-03-03,4,개화산점,544,0,0,1,1,0,99_etc,7.3,222,1702,55,45,1150,275,1681,22,62,848,202013,175511,2675,377524,178186,380199,3360,3302,898856,434839,464017,29.41176,34,0
2019-03-03,5,코엑스점,112,0,0,1,1,0,99_etc,9.9,335,1581,35,1098,141,1289,5347,128,125,178,304857,430440,7052,735298,437492,742349,10472,10061,827824,396984,430840,29.41176,34,0
2019-03-17,1,G속초조양,160,0,0,1,1,0,99_etc,6.4,12,567,133,91,265,385,2929,45,1029,163,55013,64593,343,119605,64936,119949,0,0,0,0,0,20.58823,30,0
2019-03-17,2,G화곡점,112,0,0,1,1,0,99_etc,6.6,278,1785,233,47,1175,308,2012,25,123,894,204519,193515,3251,398034,196766,401285,10562,10587,730947,339903,391044,20.58823,30,0
2019-03-17,3,가락점,64,0,0,1,1,0,99_etc,7.0,557,676,77,76,1077,385,3254,13,628,794,340172,360906,3884,701078,364790,704962,5928,5534,806178,395308,410870,20.58823,30,0
2019-03-17,4,개화산점,592,0,0,1,1,0,99_etc,6.6,278,1785,233,47,1175,308,2012,25,123,894,204519,193515,3251,398034,196766,401285,3594,3636,894433,434308,460125,20.58823,30,0
