y,ds,str_cd,prod_cd
10,2019-01-01,110438,46145000
9,2019-01-02,110438,46145000
11,2019-01-03,110438,46145000
3,2019-01-04,110438,46145000
3,2019-01-05,110438,46145000
3,2019-01-06,110438,46145000
7,2019-01-07,110438,46145000
5,2019-01-08,110438,46145000
12,2019-01-09,110438,46145000
5,2019-01-10,110438,46145000
16,2019-01-11,110438,46145000
12,2019-01-12,110438,46145000
34,2019-01-14,110438,46145000
31,2019-01-15,110438,46145000
29,2019-01-16,110438,46145000
24,2019-01-17,110438,46145000
20,2019-01-18,110438,46145000
30,2019-01-19,110438,46145000
22,2019-01-20,110438,46145000
30,2019-01-21,110438,46145000
22,2019-01-22,110438,46145000
4,2019-01-23,110438,46145000
17,2019-01-24,110438,46145000
5,2019-01-25,110438,46145000
8,2019-01-26,110438,46145000
20,2019-01-28,110438,46145000
3,2019-01-29,110438,46145000
32,2019-01-30,110438,46145000
32,2019-01-31,110438,46145000
37,2019-02-01,110438,46145000
38,2019-02-02,110438,46145000
39,2019-02-03,110438,46145000
21,2019-02-04,110438,46145000
18,2019-02-05,110438,46145000
20,2019-02-06,110438,46145000
20,2019-02-07,110438,46145000
11,2019-02-08,110438,46145000
14,2019-02-09,110438,46145000
13,2019-02-11,110438,46145000
12,2019-02-12,110438,46145000
5,2019-02-13,110438,46145000
3,2019-02-14,110438,46145000
8,2019-02-15,110438,46145000
6,2019-02-16,110438,46145000
4,2019-02-17,110438,46145000
7,2019-02-18,110438,46145000
9,2019-02-19,110438,46145000
6,2019-02-20,110438,46145000
17,2019-02-21,110438,46145000
36,2019-02-22,110438,46145000
32,2019-02-23,110438,46145000
35,2019-02-25,110438,46145000
24,2019-02-26,110438,46145000
4,2019-02-27,110438,46145000
16,2019-02-28,110438,46145000
3,2019-03-01,110438,46145000
12,2019-03-02,110438,46145000
8,2019-03-03,110438,46145000
12,2019-03-04,110438,46145000
10,2019-03-05,110438,46145000
11,2019-03-06,110438,46145000
7,2019-03-07,110438,46145000
11,2019-03-08,110438,46145000
16,2019-03-09,110438,46145000
7,2019-03-11,110438,46145000
6,2019-03-12,110438,46145000
3,2019-03-13,110438,46145000
10,2019-03-14,110438,46145000
7,2019-03-15,110438,46145000
13,2019-03-16,110438,46145000
5,2019-03-17,110438,46145000
13,2019-03-18,110438,46145000
7,2019-03-19,110438,46145000
36,2019-03-20,110438,46145000
